Company,Group,Country,Entity,StateCode,Sub Group State,AreaCode,Area,Branch,ID,ABN,ACL,Shop,Street,Suburb,PostCode,Phone
Money3 Group,Auto3,Australia,MONEY3 Loans Pty Ltd,SC_MM,Micro Motors,AC_MM1,Micro Motors,Micro Motor,{4c5904cc-7b60-4d36-bcbc-2c46468b2b4c},36 108 979 406,389067,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,MONEY3 Loans Pty Ltd,SC_LC,Loan Centre,AC_LC1,Loan Centre,Loan Centre,{f5f91ed5-a110-4b9d-979d-64950e4d7a96},37 108 979 406,389067,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,MONEY3 Loans Pty Ltd,SC_LC,Loan Centre,AC_LC2,Direct Secured Finance,Direct Secured Finance,{3e1b219b-3156-4ee0-b146-ff0e4a5b5e40},37 108 979 406,389067,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,Tannaster,SC_DST,Direct Sales Team,AC_DST1,Direct Sales Team,TANNASTER (PENRITH),{6eaa529e-5860-48ee-8ce3-50539b8bc06d},88 092 875 646,389128,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,Tannaster,SC_DST,Direct Sales Team,AC_DST1,Direct Sales Team,TANNASTER (BUNDOORA),{4580d0f9-a3a8-495c-a3d5-4de50bb2596c},88 092 875 646,389128,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,Tannaster,SC_DST,Direct Sales Team,AC_DST1,Direct Sales Team,TANNASTER (GLENORCHY),{cd68afda-0371-49e2-b806-e8e93e261fab},88 092 875 646,389128,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Recoveries,Australia,MONEY3 Branches Pty Ltd,SCOL,Recoveries,COL1,Recoveries,Recoveries,{2dea190d-8e60-46ac-90d7-36a741a6d8cc},28 114 540 797,389268,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Online,Australia,Money3 Services Pty Ltd,SC_OL,Online,AC_OL1,Cash Train,Cash Train,{cf65e2fb-5964-491a-9511-ca361149ebb2},62 102 154 781,389189,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,Money3 Services Pty Ltd,SC_REN,Rentals,AC_REN1,Rentals,Rentals,{4a0873f3-4929-4d1b-b603-c1424d11c534},62 102 154 781,389189,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Money3 ,Australia,UNKNOWN,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed Bathurst Branch,{ffbc87f0-0bf1-44a0-b14a-a1be6952dc0f},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW2,NSW Zone 2,Mayfield,{d2823c19-f4b1-456e-9ce4-d383b06572f5},28 114 540 797,389268,Shop 3,109-111 Maitland Rd,Mayfield,2304,02 4967 5911
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed Maitland,{4d4e1648-fe10-44a2-ae06-83e67ac04508},28 114 540 797,389268, Shop 2,380 High St, Maitland,2320,02 4933 5166
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW2,NSW Zone 2,Wyong,{dbb926ff-09d7-418c-9e33-223ecda5df38},28 114 540 797 ,389268,,112 Pacific Hwy, Wyong,2259,02 4351 4766
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed Gosford,{f01804c8-4e98-4d07-ac99-49c122fa1eeb},28 114 540 797 ,389268,Shop 1, 144 Mann St, Gosford,2250,02 4322 3666
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_NSW,New South Wales,AC_NSW3,NSW Zone 3,Hurstville,{25c49068-9a81-4b1d-ad24-0496a91d61b4},50 124 677 247,389530,Level 1,340 Forest Road, Hurstville,2220,02 9570 5711
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW3,NSW Zone 3,Fairfield,{fd6861f9-a3e9-42bf-9a74-a24602a4c53a},28 114 540 797,389268,Shop 3,95-97 Ware Street, Fairfield,2165,02 9727 9811
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,Liverpool,{588d3c6a-d939-427f-b11f-80b9bbba43eb},28 114 540 797,389268,,207 Macquarie St, Liverpool,2170,02 9600 7900
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,Wollongong,{dde08e30-f8da-4716-8a79-f574d7b354a7},28 114 540 797,389268,Shop 1, 280-282 Crown St, Wollongong,2500,02 4228 7288
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_NSW,New South Wales,AC_NSW3,NSW Zone 3,Campbelltown,{c573ad61-0111-4721-aff7-d3730f7772ce},50 124 677 247,389530,Shop 3,138 Queen Street, Campbelltown,2560,02 4620 4491
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW3,NSW Zone 3,Parramatta,{80acabdf-9820-42f6-a104-352a085c8ebe},28 114 540 797,389268,,245 Church St, Parramatta,2150,02 9633 1597
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,Penrith,{7cbbe93e-37a0-421f-a7e0-1e9d34ff12e3},28 114 540 797,389268,,492 High St, Penrith,2750,02 4732 4844
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed St Marys,{958cd362-a64f-400a-baa5-86ea3c1abc8a},29 114 540 797,389268,,185 Queen St, St Marys,2760,02 8188 5484
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_NSW,New South Wales,AC_NSW2,NSW Zone 2,zCLOSED Dee Why,{9dbb2c2c-0833-4c58-826b-b51e87dbd78a},50 124 677 247,389530,Shop 4,876A Pittwater Road, Dee Why,2099,02 9972 4633
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,Mt Druitt,{9782528a-6d5a-4158-ae83-6350f21b9c58},50 124 677 247,389530,Shop 5,15 Cleeve Close, Mt Druitt,2770,02 9677 9311
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed Blacktown,{e701e940-8719-43e0-9eba-52a121e6eec9},28 114 540 797,389268,Shop 3, 111 Main St, Blacktown,2148,02 967 12488
Money3 Group,Money3 ,Australia,UNKNOWN,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,zClosed Deception Bay Branch,{ebcf7542-7a05-480c-a132-44b017da4cd0},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD2,QLD Zone 2,Logan Central,{7e03984a-257c-43ec-b45a-a48d758db3e5},28 114 540 797,389268,Shop 68, 2-24 Wembley Rd, Logan Central,4114,07 3290 1222
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,zClosed Capalaba,{2613eda1-4df7-4013-ad8c-cc7171820c86},28 114 540 797,389268,Shop 2,125 Old Cleveland Road, Capalaba,4157,07 3245 3770
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Wynnum,{bcd3ecb6-3ec5-4815-b28a-0aadd6c721b7},28 114 540 797,389268,,81 Edith Street, Wynnum,4178,07 3396 3391
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Morayfield,{04d9d534-b9fb-450e-a68e-1930f9171457},28 114 540 797,389268,Shop 1, 111 William Berry Drive, Morayfield,4506,07 5428 3770
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD2,QLD Zone 2,Strathpine,{3f3336f4-06b4-4a7c-a56c-33862f1eb32f},28 114 540 797,389268, Shop 13,451 Gympie Rd, Strathpine,4500,07 3889 8840
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD3,QLD Zone 3,Cairns,{d0f44c14-7506-4a04-962f-2091cb154b29},28 114 540 797,389268, Shop 1,214 Mulgrave Rd, Cairns,4870,07 4041 3477
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD3,QLD Zone 3,Townsville,{e14e98f7-1d4e-4073-a3aa-7412c9f1bd68},28 114 540 797,389268,,467 Flinders Street, Townsville,4810,07 4771 3730
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD3,QLD Zone 3,Rockhampton,{b3170d15-5665-4d09-bd49-15473dd4cc43},28 114 540 797,389268,,87 East Street, Rockhampton,4700,07 4922 2684
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD3,QLD Zone 3,Mackay,{52af7c0e-6fe5-44cb-b77e-3595b40eb4ba},28 114 540 797,389268,,160 Victoria Street, Mackay,4740,07 4944 0033
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Southport,{4e807020-a38f-46a3-84dc-7609bccca73c},28 114 540 797,389268,,115B Scarborough St, Southport,4215,07 5532 2788
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Toowoomba,{de788705-a089-41a3-a91c-47d8bb0407e1},28 114 540 797,389268,,561 Ruthven St, Toowoomba,4350,07 4638 8311
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Acacia Ridge,{4997fa10-20db-4551-b461-2709c1915481},28 114 540 797,389268,Shop 7 Acacia Ridge SC, 28 Elizabeth St, Acacia Ridge,4110,07 3272 9600
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_TAS,Tasmania,AC_TASSA2,TAS & SA Zone 2,Rosny Park,{600a34ef-640e-4a44-a120-b922eeccdcfe},28 114 540 797,389268,,17 Bligh Street, Rosny Park,7018,03 6244 2166
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_TAS,Tasmania,AC_TASSA1,TAS & SA Zone 1,Glenorchy,{cf43e388-c8ac-43c9-ad5b-7b30e1e248e4},28 114 540 797,389268,Shop 1 Glenorchy Plaza,350-360 Main Road,Glenorchy,7010,03 6273 7711
Money3 Group,Money3 ,Australia,Kirney Pty Ltd,SC_TAS,Tasmania,AC_TASSA1,TAS & SA Zone 1,Moonah,{0a7195f1-fa7a-4c12-b222-2d4133e18963},96 116 289 803,389081,Shop 3,113 Main Road, Moonah,7009,03 6228 0626
